,index,tconst,Movie title,Year,Genres,IMDb rating,Nb votes,Rotten Tomatoes rating,Genre
6249,2569,tt0095593,Married to the Mob,1988,"Comedy,Crime,Romance",6.2,18179.0,8.9,Crime
6250,2569,tt0095593,Married to the Mob,1988,"Comedy,Crime,Romance",6.2,18179.0,8.9,Romance
6251,2570,tt0095631,Midnight Run,1988,"Action,Comedy,Crime",7.5,86958.0,9.4,Action
6252,2570,tt0095631,Midnight Run,1988,"Action,Comedy,Crime",7.5,86958.0,9.4,Comedy
6253,2570,tt0095631,Midnight Run,1988,"Action,Comedy,Crime",7.5,86958.0,9.4,Crime
6254,2571,tt0095638,The Milagro Beanfield War,1988,"Comedy,Drama,Fantasy",6.8,6417.0,5.9,Comedy
6255,2571,tt0095638,The Milagro Beanfield War,1988,"Comedy,Drama,Fantasy",6.8,6417.0,5.9,Drama
6256,2571,tt0095638,The Milagro Beanfield War,1988,"Comedy,Drama,Fantasy",6.8,6417.0,5.9,Fantasy
6257,2572,tt0095647,Mississippi Burning,1988,"Crime,Drama,History",7.8,101360.0,8.4,Crime
6258,2572,tt0095647,Mississippi Burning,1988,"Crime,Drama,History",7.8,101360.0,8.4,Drama
6259,2572,tt0095647,Mississippi Burning,1988,"Crime,Drama,History",7.8,101360.0,8.4,History
6260,2573,tt0095652,Monkey Shines,1988,"Drama,Horror,Sci-Fi",6.2,12105.0,,Drama
6261,2573,tt0095652,Monkey Shines,1988,"Drama,Horror,Sci-Fi",6.2,12105.0,,Horror
