rotten_tomatoes_link,Movie Title,Year,Studio,IMDb rating,Rotten Tomatoes rating
m/muppets_from_space,Muppets From Space,1999,Columbia Pictures,,63.0
m/ant_bully,The Ant Bully,2006,Warner Bros.,5.8,62.0
m/paulie,Paulie,1998,Dreamworks,6.5,62.0
m/hotel_transylvania_3_summer_vacation,Hotel Transylvania 3: Summer Vacation,2018,Sony,6.3,62.0
m/the-tigger-movie,The Tigger Movie,2000,Buena Vista,6.3,62.0
m/journey_to_the_center_of_the_earth_2008,Journey to the Center of the Earth,2008,Warner Bros.,5.8,61.0
m/10005499-oliver_twist,Oliver Twist,2005,Sony,6.8,61.0
m/alexander_and_the_terrible_horrible_no_good_very_bad_day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Disney,6.2,61.0
m/the_grinch,The Grinch,2018,Universal,6.3,60.0
m/tuck_everlasting,Tuck Everlasting,2002,Buena Vista,6.6,60.0
m/recess_schools_out,Recess: School's Out,2001,Buena Vista,6.5,60.0
