,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
442,nm0571727,actor,Kevin McKidd,8.1,1,0.1
620,nm2973712,actor,Jordan Nagai,8.3,1,0.1
623,nm3107870,actor,David James,7.9,1,0.1
434,nm0526019,actor,Diego Luna,7.8,1,0.1
436,nm0530365,actor,Sergi López,8.2,1,0.1
437,nm0535861,actor,Patrick Magee,8.3,1,0.1
433,nm0516972,actor,Gary Lockwood,8.3,1,0.1
432,nm0515950,actor,Danny Lloyd,8.4,1,0.1
622,nm3057402,actor,Bee Vang,8.1,1,0.1
389,nm0331516,actor,Ryan Gosling,7.8,1,0.1
388,nm0330687,actor,Joseph Gordon-Levitt,8.8,1,0.1
387,nm0328828,actor,Matthew Goode,8.0,1,0.1
636,nm5473782,actor,Taron Egerton,7.7,1,0.1
473,nm0722636,actor,John Rhys-Davies,8.4,1,0.1
397,nm0348409,actor,Bob Gunton,9.3,1,0.1
632,nm4139037,actor,Suraj Sharma,7.9,1,0.1
399,nm0352778,actor,Bill Hader,8.2,1,0.1
406,nm0396558,actor,Nicholas Hoult,8.1,1,0.1
633,nm4422686,actor,Barry Keoghan,7.8,1,0.1
625,nm3154303,actor,Timothée Chalamet,8.0,1,0.1
415,nm0430107,actor,Michael B. Jordan,7.3,1,0.1
416,nm0438463,actor,Anil Kapoor,8.0,1,0.1
417,nm0440913,actor,Mathieu Kassovitz,8.3,1,0.1
423,nm0470981,actor,Thomas Kretschmann,8.5,1,0.1
408,nm0406975,actor,Rhys Ifans,6.9,1,0.1
634,nm4534098,actor,Ed Skrein,8.0,1,0.1
394,nm0341743,actor,Richard Griffiths,7.9,1,0.1
393,nm0340260,actor,Zach Grenier,8.8,1,0.1
640,nm7887725,actor,Fionn Whitehead,7.8,1,0.1
377,nm0293550,actor,Paul Freeman,8.4,1,0.1
638,nm6079248,actor,Choi Woo-sik,8.5,1,0.1
379,nm0307531,actor,Jeff Garlin,8.4,1,0.1
382,nm0321294,actor,Aldo Giuffrè,8.8,1,0.1
383,nm0322407,actor,Brendan Gleeson,7.9,1,0.1
