tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0031679,1939,8.1,Mr. Smith Goes to Washington,m/mr_smith_goes_to_washington,Mr. Smith Goes to Washington,Certified-Fresh,96.0
tt0031725,1939,7.8,Ninotchka,m/ninotchka,Ninotchka,Fresh,97.0
tt0031742,1939,7.9,Of Mice and Men,m/1083121-of_mice_and_men,Of Mice and Men,Fresh,100.0
tt0031762,1939,7.6,Only Angels Have Wings,m/only_angels_have_wings,Only Angels Have Wings,Fresh,100.0
tt0031885,1939,7.9,The Rules of the Game,,,,
tt0031951,1939,7.1,Son of Frankenstein,m/son_of_frankenstein,Son of Frankenstein,Fresh,95.0
tt0031971,1939,7.8,Stagecoach,m/1019774-stagecoach,Stagecoach,Certified-Fresh,100.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032138,1939,8.1,The Wizard of Oz,m/the_wizard_of_oz_1939,The Wizard of Oz,Certified-Fresh,98.0
tt0032143,1939,7.7,The Women,m/1023906-women,The Women,Fresh,92.0
tt0032145,1939,7.5,Wuthering Heights,m/1024192-wuthering_heights,Wuthering Heights,Fresh,96.0
tt0032155,1939,7.5,Young Mr. Lincoln,m/young_mr_lincoln,Young Mr. Lincoln,Fresh,100.0
tt0032234,1940,7.1,The Bank Dick,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032455,1940,7.7,Fantasia,,,,
tt0032484,1940,7.5,Foreign Correspondent,m/foreign_correspondent,Foreign Correspondent,Fresh,95.0
tt0032551,1940,8.1,The Grapes of Wrath,m/grapes_of_wrath,The Grapes of Wrath,Certified-Fresh,100.0
tt0032599,1940,7.8,His Girl Friday,m/his_girl_friday,His Girl Friday,Certified-Fresh,98.0
tt0032762,1940,7.5,The Mark of Zorro,m/1083004-mark_of_zorro,The Mark of Zorro,Fresh,91.0
tt0032904,1940,7.9,The Philadelphia Story,m/philadelphia_story,The Philadelphia Story,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
tt0032910,1940,7.5,Pinocchio,m/pinocchio_1940,Pinocchio,Certified-Fresh,100.0
